season,week,kickoff,home_team,home_score,visitors_score,visiting_team
2014,1,2014-09-04T19:30:00-05:00,SEA,36,16,GB
2014,1,2014-09-07T12:00:00-05:00,CHI,20,23,BUF
2014,1,2014-09-07T12:00:00-05:00,KC,10,26,TEN
2014,1,2014-09-07T12:00:00-05:00,MIA,33,20,NE
2014,1,2014-09-07T12:00:00-05:00,PHI,34,17,JAC
2014,1,2014-09-07T12:00:00-05:00,ATL,37,34,NO
2014,1,2014-09-07T12:00:00-05:00,NYJ,19,14,OAK
2014,1,2014-09-07T12:00:00-05:00,STL,6,34,MIN
2014,1,2014-09-07T12:00:00-05:00,BAL,16,23,CIN
2014,1,2014-09-07T12:00:00-05:00,PIT,30,27,CLE
2014,1,2014-09-07T12:00:00-05:00,HOU,17,6,WAS
2014,1,2014-09-07T15:25:00-05:00,TB,14,20,CAR
2014,1,2014-09-07T15:25:00-05:00,DAL,17,28,SF
2014,1,2014-09-07T19:30:00-05:00,DEN,31,24,IND
2014,1,2014-09-08T18:10:00-05:00,DET,35,14,NYG
2014,1,2014-09-08T21:20:00-05:00,ARI,18,17,SD
2014,2,2014-09-11T19:25:00-05:00,BAL,26,6,PIT
2014,2,2014-09-14T12:00:00-05:00,CIN,24,10,ATL
2014,2,2014-09-14T12:00:00-05:00,BUF,29,10,MIA
2014,2,2014-09-14T12:00:00-05:00,CLE,26,24,NO
2014,2,2014-09-14T12:00:00-05:00,NYG,14,25,ARI
2014,2,2014-09-14T12:00:00-05:00,CAR,24,7,DET
2014,2,2014-09-14T12:00:00-05:00,WAS,41,10,JAC
2014,2,2014-09-14T12:00:00-05:00,TEN,10,26,DAL
2014,2,2014-09-14T12:00:00-05:00,MIN,7,30,NE
2014,2,2014-09-14T15:05:00-05:00,TB,17,19,STL
2014,2,2014-09-14T15:05:00-05:00,SD,30,21,SEA
2014,2,2014-09-14T15:25:00-05:00,DEN,24,17,KC
2014,2,2014-09-14T15:25:00-05:00,GB,31,24,NYJ
2014,2,2014-09-14T15:25:00-05:00,OAK,14,30,HOU
2014,2,2014-09-14T19:30:00-05:00,SF,20,28,CHI
2014,2,2014-09-15T19:30:00-05:00,IND,27,30,PHI
2014,3,2014-09-18T19:25:00-05:00,ATL,56,14,TB
2014,3,2014-09-21T12:00:00-05:00,CIN,33,7,TEN
2014,3,2014-09-21T12:00:00-05:00,BUF,10,22,SD
2014,3,2014-09-21T12:00:00-05:00,CLE,21,23,BAL
2014,3,2014-09-21T12:00:00-05:00,PHI,37,34,WAS
2014,3,2014-09-21T12:00:00-05:00,NYG,30,17,HOU
2014,3,2014-09-21T12:00:00-05:00,JAC,17,44,IND
2014,3,2014-09-21T12:00:00-05:00,DET,19,7,GB
2014,3,2014-09-21T12:00:00-05:00,NE,16,9,OAK
2014,3,2014-09-21T12:00:00-05:00,STL,31,34,DAL
2014,3,2014-09-21T12:00:00-05:00,NO,20,9,MIN
2014,3,2014-09-21T15:05:00-05:00,ARI,23,14,SF
2014,3,2014-09-21T15:25:00-05:00,MIA,15,34,KC
2014,3,2014-09-21T15:25:00-05:00,SEA,26,20,DEN
2014,3,2014-09-21T19:30:00-05:00,CAR,19,37,PIT
2014,3,2014-09-22T19:30:00-05:00,NYJ,19,27,CHI
2014,4,2014-09-25T19:25:00-05:00,WAS,14,45,NYG
2014,4,2014-09-28T12:00:00-05:00,CHI,17,38,GB
2014,4,2014-09-28T12:00:00-05:00,IND,41,17,TEN
2014,4,2014-09-28T12:00:00-05:00,NYJ,17,24,DET
2014,4,2014-09-28T12:00:00-05:00,OAK,14,38,MIA
2014,4,2014-09-28T12:00:00-05:00,BAL,38,10,CAR
2014,4,2014-09-28T12:00:00-05:00,PIT,24,27,TB
2014,4,2014-09-28T12:00:00-05:00,HOU,23,17,BUF
